date,social distancing,isPartial
2020-07-17,0,False
2020-07-18,68,False
2020-07-19,0,False
2020-07-20,69,False
2020-07-21,75,False
2020-07-22,77,False
2020-07-23,68,False
2020-07-24,0,False
2020-07-25,80,False
2020-07-26,0,False
2020-07-27,72,False
2020-07-28,100,False
2020-07-29,76,False
2020-07-30,0,False
2020-07-31,0,False
2020-08-01,0,False
2020-08-02,88,False
2020-08-03,85,False
2020-08-04,78,False
2020-08-05,76,False
2020-08-06,0,False
2020-08-07,59,False
2020-08-08,75,False
2020-08-09,0,False
2020-08-10,87,False
2020-08-11,79,False
2020-08-12,79,False
2020-08-13,91,False
2020-08-14,0,False
2020-08-15,65,False
2020-08-16,0,False
