date,social distancing,isPartial
2020-10-02,100,False
2020-10-03,50,False
2020-10-04,39,False
2020-10-05,53,False
2020-10-06,62,False
2020-10-07,65,False
2020-10-08,78,False
2020-10-09,61,False
2020-10-10,50,False
2020-10-11,0,False
2020-10-12,64,False
2020-10-13,47,False
2020-10-14,46,False
2020-10-15,42,False
2020-10-16,69,False
2020-10-17,64,False
2020-10-18,0,False
2020-10-19,42,False
2020-10-20,71,False
2020-10-21,0,False
2020-10-22,61,False
2020-10-23,0,False
2020-10-24,0,False
2020-10-25,0,False
2020-10-26,56,False
2020-10-27,51,False
2020-10-28,37,False
2020-10-29,48,False
2020-10-30,0,False
2020-10-31,0,False
2020-11-01,0,False
