date,face shield,isPartial
2020-07-01,24,False
2020-07-02,23,False
2020-07-03,19,False
2020-07-04,24,False
2020-07-05,20,False
2020-07-06,27,False
2020-07-07,21,False
2020-07-08,31,False
2020-07-09,21,False
2020-07-10,29,False
2020-07-11,27,False
2020-07-12,22,False
2020-07-13,24,False
2020-07-14,20,False
2020-07-15,27,False
2020-07-16,33,False
2020-07-17,36,False
2020-07-18,33,False
2020-07-19,29,False
2020-07-20,27,False
2020-07-21,26,False
2020-07-22,27,False
2020-07-23,21,False
2020-07-24,18,False
2020-07-25,20,False
2020-07-26,21,False
2020-07-27,15,False
2020-07-28,8,False
2020-07-29,13,False
2020-07-30,17,False
2020-07-31,100,False
