date,lagnat,isPartial
2020-12-05,0,False
2020-12-06,0,False
2020-12-07,0,False
2020-12-08,0,False
2020-12-09,64,False
2020-12-10,0,False
2020-12-11,0,False
2020-12-12,100,False
2020-12-13,0,False
2020-12-14,0,False
2020-12-15,72,False
2020-12-16,0,False
2020-12-17,0,False
2020-12-18,0,False
2020-12-19,0,False
2020-12-20,0,False
2020-12-21,0,False
2020-12-22,0,False
2020-12-23,0,False
2020-12-24,0,False
2020-12-25,0,False
2020-12-26,0,False
2020-12-27,65,False
2020-12-28,68,False
2020-12-29,75,False
2020-12-30,0,False
2020-12-31,0,False
2021-01-01,0,False
2021-01-02,0,False
2021-01-03,0,False
2021-01-04,0,False
