date,lagnat,isPartial
2021-01-19,0,False
2021-01-20,57,False
2021-01-21,0,False
2021-01-22,0,False
2021-01-23,0,False
2021-01-24,0,False
2021-01-25,0,False
2021-01-26,68,False
2021-01-27,0,False
2021-01-28,58,False
2021-01-29,0,False
2021-01-30,100,False
2021-01-31,0,False
2021-02-01,0,False
2021-02-02,0,False
2021-02-03,68,False
2021-02-04,0,False
2021-02-05,0,False
2021-02-06,80,False
2021-02-07,0,False
2021-02-08,0,False
2021-02-09,0,False
2021-02-10,0,False
2021-02-11,0,False
2021-02-12,70,False
2021-02-13,0,False
2021-02-14,0,False
2021-02-15,0,False
2021-02-16,0,False
2021-02-17,0,False
