date,lagnat,isPartial
2020-10-09,0,False
2020-10-10,0,False
2020-10-11,79,False
2020-10-12,0,False
2020-10-13,0,False
2020-10-14,100,False
2020-10-15,0,False
2020-10-16,0,False
2020-10-17,0,False
2020-10-18,0,False
2020-10-19,0,False
2020-10-20,0,False
2020-10-21,57,False
2020-10-22,0,False
2020-10-23,63,False
2020-10-24,0,False
2020-10-25,0,False
2020-10-26,0,False
2020-10-27,0,False
2020-10-28,0,False
2020-10-29,0,False
2020-10-30,70,False
2020-10-31,91,False
2020-11-01,0,False
2020-11-02,90,False
2020-11-03,0,False
2020-11-04,0,False
2020-11-05,0,False
2020-11-06,0,False
2020-11-07,0,False
2020-11-08,84,False
