date,cough
2020-03-16,96.0
2020-03-17,82.0
2020-03-18,87.0
2020-03-19,75.0
2020-03-20,71.0
2020-03-21,82.0
2020-03-22,95.0
2020-03-23,100.0
2020-03-24,89.0
2020-03-25,84.0
2020-03-26,94.0
2020-03-27,72.0
2020-03-28,77.0
2020-03-29,69.0
2020-03-30,52.0
2020-03-31,49.0
2020-04-01,46.0
2020-04-02,50.0
2020-04-03,40.0
2020-04-04,45.0
2020-04-05,35.0
2020-04-06,38.0
2020-04-07,41.0
2020-04-08,36.0
2020-04-09,40.0
2020-04-10,44.0
2020-04-11,35.0
2020-04-12,31.0
2020-04-13,39.0
2020-04-15,37.0
2020-04-16,33.0
2020-04-17,32.0
2020-04-18,35.0
2020-04-19,29.0
2020-04-20,38.0
2020-04-21,31.0
2020-04-22,25.387761868511994
2020-04-23,25.0
2020-04-24,31.0
2020-04-25,25.373557401657763
2020-04-26,33.0
2020-04-27,31.287355270013343
2020-04-28,29.22596138274182
2020-04-29,48.756347169490496
2020-04-30,39.84249082809641
2020-05-01,51.72041929378734
2020-05-02,44.03836726890747
2020-05-03,64.92996644191143
2020-05-04,49.17324882887732
2020-05-05,57.344895949531384
2020-05-06,45.0
2020-05-07,46.0
2020-05-08,44.0
2020-05-09,33.0
2020-05-10,33.27395650958758
2020-05-11,39.0
2020-05-12,44.0
2020-05-13,41.38461833384068
2020-05-14,37.0
2020-05-15,55.0
2020-05-16,49.152581272145994
2020-05-17,47.149558493383665
2020-05-18,58.318270315802934
2020-05-19,46.98546433034268
2020-05-20,48.57147348608488
2020-05-21,66.35591475332717
2020-05-22,74.0
2020-05-23,81.0
2020-05-24,69.6528252028863
2020-05-25,67.0
2020-05-26,73.0
2020-05-27,54.0
2020-05-28,89.0
2020-05-29,60.0
2020-05-30,54.0
2020-05-31,58.0
2020-06-01,73.0
2020-06-02,84.082939675387
2020-06-03,86.0
2020-06-04,89.0
2020-06-05,69.0
2020-06-06,93.0
2020-06-07,66.0
2020-06-08,90.0
2020-06-09,69.0
2020-06-10,62.0
2020-06-11,81.0
2020-06-12,66.0
2020-06-13,96.0
2020-06-14,77.0
2020-06-15,93.0
2020-06-16,84.0
2020-06-17,74.636048769159
2020-06-18,63.0
2020-06-19,93.0
2020-06-20,98.9073259760507
2020-06-21,100.0
2020-06-22,83.45478003591023
2020-06-23,91.45990495240882
2020-06-24,100.11932181371093
2020-06-25,100.0
2020-06-26,65.0
2020-06-27,86.0
2020-06-28,81.0
2020-06-29,81.0
2020-06-30,71.0
2020-07-01,80.0
2020-07-02,96.0
2020-07-03,75.0
2020-07-04,82.6405416476495
2020-07-05,100.0
2020-07-06,88.0
2020-07-07,87.0
2020-07-08,90.95512589671279
2020-07-09,100.0
2020-07-10,87.0
2020-07-11,92.0
2020-07-12,95.85823367056568
2020-07-13,83.0
2020-07-14,85.0
2020-07-15,94.0
2020-07-16,97.0
2020-07-17,66.0
2020-07-18,90.0
2020-07-19,94.0
2020-07-20,81.55022202351817
