date,ecq
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,5.0
2020-03-19,0.0
2020-03-20,5.0
2020-03-21,4.0
2020-03-22,4.0
2020-03-23,5.0
2020-03-24,6.0
2020-03-25,11.0
2020-03-26,8.0
2020-03-27,12.0
2020-03-28,11.0
2020-03-29,12.0
2020-03-30,17.0
2020-03-31,23.0
2020-04-01,26.0
2020-04-02,33.0
2020-04-03,37.0
2020-04-04,39.0
2020-04-05,43.0
2020-04-06,100.0
2020-04-07,98.0
2020-04-08,46.0
2020-04-09,29.0
2020-04-10,28.0
2020-04-11,29.0
2020-04-12,41.0
2020-04-13,54.0
2020-04-15,63.0
2020-04-16,65.0
2020-04-17,57.0
2020-04-18,57.0
2020-04-19,74.0
2020-04-20,87.0
2020-04-21,92.0
2020-04-22,91.56684690761858
2020-04-23,100.85399215886993
2020-04-24,100.0
2020-04-25,35.0
2020-04-26,29.0
2020-04-27,41.0
2020-04-28,50.0
2020-04-29,43.0
2020-04-30,59.0
2020-05-01,46.0
2020-05-02,39.0
2020-05-03,35.0
2020-05-04,43.18083655487867
2020-05-05,40.0
2020-05-06,33.0
2020-05-07,89.0
2020-05-08,79.0
2020-05-09,84.0
2020-05-10,68.93429757208803
2020-05-11,99.94466996778233
2020-05-12,100.0
2020-05-13,50.0
2020-05-14,29.754887420299973
2020-05-15,24.0
2020-05-16,23.0
2020-05-17,16.0
2020-05-18,16.0
2020-05-19,12.0
2020-05-20,10.0
2020-05-21,14.0
2020-05-22,10.0
2020-05-23,8.0
2020-05-24,7.0
2020-05-25,10.0
2020-05-26,11.0
2020-05-27,9.0
2020-05-28,10.0
2020-05-29,9.0
2020-05-30,6.0
2020-05-31,6.0
2020-06-01,7.0
2020-06-02,5.0
2020-06-03,5.0
2020-06-04,4.0
2020-06-05,4.0
2020-06-06,4.0
2020-06-07,3.0
2020-06-08,5.0
2020-06-09,5.0
2020-06-10,6.0
2020-06-11,6.593481027119808
2020-06-12,20.776700183045218
2020-06-13,49.87726903196741
2020-06-14,60.83647011442119
2020-06-15,91.76704109624478
2020-06-16,47.0
2020-06-17,25.0
2020-06-18,15.0
2020-06-19,16.0
2020-06-20,10.0
2020-06-21,8.0
2020-06-22,14.0
2020-06-23,13.0
2020-06-24,9.0
2020-06-25,11.0
2020-06-26,12.0
2020-06-27,10.0
2020-06-28,8.0
2020-06-29,14.0
2020-06-30,23.0
2020-07-01,17.0
2020-07-02,13.0
2020-07-03,12.0
2020-07-04,7.0
2020-07-05,9.0
2020-07-06,15.0
2020-07-07,15.0
2020-07-08,15.256729526898459
2020-07-09,9.0
2020-07-10,9.0
2020-07-11,8.0
2020-07-12,9.0
2020-07-13,12.0
2020-07-14,13.0
2020-07-15,22.83412752919931
2020-07-16,36.85921963698621
2020-07-17,48.45853627885008
2020-07-18,41.0
2020-07-19,35.0
2020-07-20,44.74718258912232
2020-07-21,54.70703855344613
2020-07-22,65.85345839334393
2020-07-23,57.34983516711596
2020-07-24,64.0
2020-07-25,56.0
2020-07-26,80.41722194460374
2020-07-27,87.0
2020-07-28,72.0
2020-07-29,76.0
2020-07-30,88.00031808165636
2020-07-31,98.60226021909487
2020-08-01,100.42553366174057
2020-08-02,102.47536945812807
2020-08-03,55.0
2020-08-04,15.0
2020-08-05,8.0
2020-08-06,6.837116858237548
2020-08-07,6.0
2020-08-08,5.0
2020-08-09,4.0
2020-08-10,6.0
2020-08-11,6.0
2020-08-12,6.070607553366175
2020-08-13,9.0
2020-08-14,7.0
2020-08-15,7.0
2020-08-16,8.0
2020-08-17,24.0
2020-08-18,9.0
2020-08-19,4.0
2020-08-20,3.0
2020-08-21,1.9816912972085385
2020-08-22,2.0269609700644184
2020-08-23,1.9816912972085385
2020-08-24,2.0269609700644184
2020-08-25,2.0
2020-08-26,2.0
2020-08-27,2.0
2020-08-28,2.0
2020-08-29,0.0
2020-08-30,2.0
2020-08-31,3.0
2020-09-01,3.9577910893654877
2020-09-02,3.1386587781494035
2020-09-03,8.0
2020-09-04,8.0
2020-09-05,7.0
2020-09-06,6.0
2020-09-07,10.0
2020-09-08,9.0
2020-09-09,5.0
2020-09-10,7.0
2020-09-11,7.0
2020-09-12,7.0
2020-09-13,6.0
2020-09-14,8.0
2020-09-15,7.0
2020-09-16,7.297415816700155
2020-09-17,18.67588831320796
2020-09-18,37.18462347844123
2020-09-19,27.0
2020-09-20,0.0
2020-09-21,39.0
2020-09-22,48.0
2020-09-23,46.0
2020-09-24,50.0
2020-09-25,43.0
2020-09-26,0.0
2020-09-27,44.0
2020-09-28,52.0
2020-09-29,54.0
2020-09-30,54.0
2020-10-01,42.68066190182138
2020-10-02,46.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,69.0
2020-10-06,88.0
2020-10-07,76.86562563730611
2020-10-08,91.43797299547398
2020-10-09,86.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,67.0
2020-10-13,70.0
2020-10-14,59.0
2020-10-15,57.0
2020-10-16,84.0
2020-10-17,0.0
2020-10-18,57.0
2020-10-19,79.0
2020-10-20,95.0
2020-10-21,83.0
2020-10-22,84.0
2020-10-23,0.0
2020-10-24,54.0
2020-10-25,0.0
2020-10-26,61.0
2020-10-27,68.0
2020-10-28,0.0
2020-10-29,54.0
2020-10-30,0.0
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,58.0
2020-11-03,81.0
2020-11-04,61.0
2020-11-05,60.92267981715414
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,45.0
2020-11-10,60.0
2020-11-11,88.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,90.0
2020-11-17,51.0
2020-11-18,0.0
2020-11-19,72.97845742075278
2020-11-20,95.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,65.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,59.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,100.0
2020-12-01,79.0
2020-12-02,85.57019603293983
2020-12-03,100.0
2020-12-04,89.0
2020-12-05,64.76773990315704
2020-12-06,96.00148062336018
2020-12-07,68.0
2020-12-08,49.0
2020-12-09,46.0
2020-12-10,0.0
2020-12-11,47.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,0.0
2020-12-15,35.0
2020-12-16,0.0
2020-12-17,33.26172767376822
2020-12-18,40.0
2020-12-19,70.0
2020-12-20,68.0
2020-12-21,41.0
2020-12-22,35.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,100.0
2020-12-29,88.0
2020-12-30,41.61507390961317
2020-12-31,0.0
2021-01-01,30.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,27.0
2021-01-05,20.0
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,25.0
2021-01-15,23.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,0.0
2021-01-19,22.0
2021-01-20,0.0
2021-01-21,0.0
2021-01-22,23.0
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,28.0
2021-01-26,32.0
2021-01-27,0.0
2021-01-28,0.0
2021-01-29,100.0
2021-01-30,58.0
2021-01-31,0.0
2021-02-01,69.0
2021-02-02,66.0
2021-02-03,0.0
2021-02-04,0.0
2021-02-05,52.0
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-13,0.0
2021-02-14,0.0
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,72.0
2021-02-19,48.0
2021-02-20,0.0
2021-02-21,0.0
2021-02-22,68.0
2021-02-23,0.0
2021-02-24,43.0
2021-02-25,0.0
2021-02-26,0.0
2021-02-27,0.0
2021-02-28,81.17310426901052
2021-03-01,0.0
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,67.0
2021-03-05,0.0
2021-03-06,0.0
2021-03-07,0.0
2021-03-08,100.0
2021-03-09,81.0
2021-03-10,62.0
2021-03-11,64.0
2021-03-12,74.76024855457199
2021-03-13,99.53917011951705
2021-03-14,95.47126241998694
2021-03-15,100.0
