date,sipon
2020-03-16,100.0
2020-03-17,96.0
2020-03-18,63.0
2020-03-19,64.0
2020-03-20,66.0
2020-03-21,44.0
2020-03-22,72.0
2020-03-23,38.0
2020-03-24,59.0
2020-03-25,77.0
2020-03-26,83.0
2020-03-27,63.0
2020-03-28,69.0
2020-03-29,57.0
2020-03-30,51.0
2020-03-31,54.0
2020-04-01,53.0
2020-04-02,43.0
2020-04-03,32.0
2020-04-04,37.0
2020-04-05,47.0
2020-04-06,32.0
2020-04-07,31.0
2020-04-08,49.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,56.0
2020-04-12,73.0
2020-04-13,0.0
2020-04-15,51.112628161085894
2020-04-16,41.93263562027243
2020-04-17,45.13154553585745
2020-04-18,42.0
2020-04-19,41.93960764185723
2020-04-20,44.0
2020-04-21,40.0
2020-04-22,50.0
2020-04-23,53.0
2020-04-24,57.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,65.0
2020-04-29,84.0
2020-04-30,46.0
2020-05-01,42.11786796875853
2020-05-02,41.847076240599534
2020-05-03,79.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,46.0
2020-05-12,67.41683966540286
2020-05-13,0.0
2020-05-14,52.0
2020-05-15,0.0
2020-05-16,64.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,57.0
2020-05-20,0.0
2020-05-21,51.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,47.76932235144015
2020-05-26,71.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,82.9748772571502
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,57.92917323645404
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,46.0576566555432
2020-06-05,0.0
2020-06-06,74.45620563100387
2020-06-07,100.0
2020-06-08,56.8994956608325
2020-06-09,0.0
2020-06-10,91.0
2020-06-11,61.0
2020-06-12,81.0
2020-06-13,75.9231917236731
2020-06-14,100.0
2020-06-15,97.0
2020-06-16,85.0
2020-06-17,81.0
2020-06-18,78.0
2020-06-19,92.0
2020-06-20,75.0
2020-06-21,80.0
2020-06-22,75.72726148754164
2020-06-23,100.0
2020-06-24,74.0
2020-06-25,80.0
2020-06-26,90.52562776629368
2020-06-27,99.06967405034248
2020-06-28,100.0
2020-06-29,93.0
2020-06-30,58.933017527870504
2020-07-01,100.0
2020-07-02,92.0
2020-07-03,96.0
2020-07-04,92.0
2020-07-05,67.0
2020-07-06,70.0
2020-07-07,81.0
2020-07-08,75.0
2020-07-09,57.0
2020-07-10,73.0
2020-07-11,78.0
2020-07-12,75.0
2020-07-13,84.0
2020-07-14,66.0
2020-07-15,94.0
2020-07-16,49.0
2020-07-17,88.0
2020-07-18,74.0
2020-07-19,72.77475895294512
2020-07-20,100.0
2020-07-21,80.06691347130437
2020-07-22,100.0
2020-07-23,88.15785567003371
2020-07-24,78.58472586981345
2020-07-25,67.61714718715946
2020-07-26,100.0
2020-07-27,45.0
2020-07-28,75.0
2020-07-29,71.0
2020-07-30,51.2183604232604
2020-07-31,51.0
2020-08-01,63.0
2020-08-02,57.0
2020-08-03,50.0
2020-08-04,43.0
2020-08-05,50.0
2020-08-06,40.0
2020-08-07,37.0
2020-08-08,36.97347107363063
2020-08-09,55.925726668592866
2020-08-10,29.0
2020-08-11,37.46540954606196
2020-08-12,42.0
2020-08-13,29.0
2020-08-14,56.245993792190916
2020-08-15,37.0
2020-08-16,79.0
2020-08-17,37.0
2020-08-18,38.0
2020-08-19,26.0
2020-08-20,65.0
2020-08-21,70.0
2020-08-22,42.0
2020-08-23,39.0
2020-08-24,31.0
2020-08-25,28.32633726246877
2020-08-26,0.0
2020-08-27,59.0
2020-08-28,57.0
2020-08-29,40.0
2020-08-30,65.0
2020-08-31,0.0
2020-09-01,37.0
2020-09-02,35.0
2020-09-03,34.0
2020-09-04,49.0
2020-09-05,38.0
2020-09-06,52.0
2020-09-07,33.0
2020-09-08,52.16130658983013
2020-09-09,31.0
2020-09-10,0.0
2020-09-11,85.0
2020-09-12,51.956900859487575
2020-09-13,52.22652157725347
2020-09-14,50.364193437305396
2020-09-15,47.51190865281072
2020-09-16,54.903916389970384
2020-09-17,58.0
2020-09-18,59.0
2020-09-19,78.0
2020-09-20,64.44968252354265
2020-09-21,46.0
2020-09-22,66.0
2020-09-23,94.0
2020-09-24,70.0
2020-09-25,53.0
2020-09-26,86.44449319226578
2020-09-27,98.66041798384457
2020-09-28,100.0
2020-09-29,80.74731378418744
2020-09-30,51.51271261554566
2020-10-01,50.70281757542485
2020-10-02,63.18878025872621
2020-10-03,68.0
2020-10-04,75.0
2020-10-05,45.0
2020-10-06,69.0
2020-10-07,62.0
2020-10-08,0.0
2020-10-09,66.0
2020-10-10,91.0
2020-10-11,50.0
2020-10-12,59.0
2020-10-13,63.802483633214806
2020-10-14,56.54524248864372
2020-10-15,65.0
2020-10-16,52.0
2020-10-17,0.0
2020-10-18,52.31090503063713
2020-10-19,67.0
2020-10-20,67.0
2020-10-21,71.0
2020-10-22,81.0
2020-10-23,77.0
2020-10-24,90.0
2020-10-25,83.0
2020-10-26,51.0
2020-10-27,67.0
2020-10-28,42.0
2020-10-29,0.0
2020-10-30,75.12816745192701
2020-10-31,81.0
2020-11-01,71.75283547043618
2020-11-02,100.0
2020-11-03,87.0
2020-11-04,100.0
2020-11-05,48.0
2020-11-06,81.0
2020-11-07,0.0
2020-11-08,93.0
2020-11-09,60.0
2020-11-10,78.0
2020-11-11,77.0814564408331
2020-11-12,100.0
2020-11-13,97.0
2020-11-14,65.0
2020-11-15,81.0
2020-11-16,73.0
2020-11-17,71.0
2020-11-18,91.0
2020-11-19,54.0
2020-11-20,94.0
2020-11-21,98.62283473241938
2020-11-22,100.0
2020-11-23,86.0
2020-11-24,80.0
2020-11-25,76.84076795903347
2020-11-26,100.0663797284173
2020-11-27,99.46814128494776
2020-11-28,100.0
2020-11-29,53.0
2020-11-30,85.0
2020-12-01,85.0
2020-12-02,78.0
2020-12-03,70.0
2020-12-04,56.0
2020-12-05,61.0
2020-12-06,47.0
2020-12-07,41.0
2020-12-08,80.0
2020-12-09,0.0
2020-12-10,47.0
2020-12-11,0.0
2020-12-12,68.0
2020-12-13,44.0
2020-12-14,73.0
2020-12-15,63.0
2020-12-16,77.0
2020-12-17,0.0
2020-12-18,51.0
2020-12-19,44.0
2020-12-20,53.0
2020-12-21,53.0
2020-12-22,64.0
2020-12-23,47.0
2020-12-24,42.0
2020-12-25,49.0
2020-12-26,44.0
2020-12-27,65.0
2020-12-28,78.03895738003109
2020-12-29,86.0
2020-12-30,85.805185020239
2020-12-31,0.0
2021-01-01,100.0
2021-01-02,79.0
2021-01-03,62.0
2021-01-04,68.0
2021-01-05,49.0
2021-01-06,82.0
2021-01-07,68.0
2021-01-08,40.0
2021-01-09,87.54094845619981
2021-01-10,100.0
2021-01-11,78.0
2021-01-12,71.0
2021-01-13,63.0
2021-01-14,46.0
2021-01-15,56.0
2021-01-16,53.0
2021-01-17,45.127165797711406
2021-01-18,49.0
2021-01-19,76.0
2021-01-20,66.0
2021-01-21,52.02006660268884
2021-01-22,61.34844830290592
2021-01-23,45.0
2021-01-24,66.8951679457716
2021-01-25,34.4805603431094
2021-01-26,0.0
2021-01-27,43.817837039089085
2021-01-28,57.111402056099394
2021-01-29,47.0
2021-01-30,72.49386582396525
2021-01-31,79.0
2021-02-01,54.0
2021-02-02,63.0
2021-02-03,69.0
2021-02-04,49.0
2021-02-05,71.0
2021-02-06,0.0
2021-02-07,57.869629390768154
2021-02-08,65.34689304637425
2021-02-09,55.83612040323589
2021-02-10,61.02779253116325
2021-02-11,70.27623229598022
2021-02-12,61.0
2021-02-13,69.0
2021-02-14,63.0
2021-02-15,52.0
2021-02-16,77.0
2021-02-17,67.0
2021-02-18,50.0
2021-02-19,44.0
2021-02-20,81.0
2021-02-21,85.0
2021-02-22,46.0
2021-02-23,0.0
2021-02-24,72.0
2021-02-25,60.0
2021-02-26,67.0
2021-02-27,62.0
2021-02-28,47.0
2021-03-01,45.0
2021-03-02,64.77979870709451
2021-03-03,91.0
2021-03-04,75.0
2021-03-05,67.0
2021-03-06,87.0
2021-03-07,93.0
2021-03-08,89.0
2021-03-09,52.630161754086295
2021-03-10,77.22082922934386
2021-03-11,72.82750484267525
2021-03-12,100.0
2021-03-13,98.0
2021-03-14,47.03647489105311
2021-03-15,92.54258701563035
