date,fever,isPartial
2020-10-01,77,False
2020-10-02,83,False
2020-10-03,79,False
2020-10-04,91,False
2020-10-05,73,False
2020-10-06,71,False
2020-10-07,89,False
2020-10-08,70,False
2020-10-09,73,False
2020-10-10,73,False
2020-10-11,72,False
2020-10-12,77,False
2020-10-13,77,False
2020-10-14,65,False
2020-10-15,75,False
2020-10-16,67,False
2020-10-17,79,False
2020-10-18,94,False
2020-10-19,78,False
2020-10-20,67,False
2020-10-21,72,False
2020-10-22,62,False
2020-10-23,75,False
2020-10-24,56,False
2020-10-25,100,False
2020-10-26,84,False
2020-10-27,82,False
2020-10-28,84,False
2020-10-29,91,False
2020-10-30,80,False
2020-10-31,91,False
