date,fever,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,97,1.0526315789473684,102.10526315789473,97.0
2020-03-17,94,1.0526315789473684,98.94736842105263,94.0
2020-03-18,94,1.0526315789473684,98.94736842105263,94.0
2020-03-19,90,1.0526315789473684,94.73684210526315,90.0
2020-03-20,95,1.0526315789473684,100.0,95.0
2020-03-21,100,1.0526315789473684,105.26315789473684,100.0
2020-03-22,82,1.0414312617702448,85.39736346516007,81.12749529190208
2020-03-23,69,1.0414312617702448,71.85875706214689,68.26581920903956
2020-03-24,79,1.0414312617702448,82.27306967984934,78.15941619585688
2020-03-25,76,1.0414312617702448,79.1487758945386,75.19133709981168
2020-03-26,82,1.0414312617702448,85.39736346516007,81.12749529190208
2020-03-27,78,1.0414312617702448,81.2316384180791,77.17005649717515
2020-03-28,65,1.0414312617702448,67.69303201506591,64.30838041431261
2020-03-29,68,1.0073170731707315,68.49756097560974,65.07268292682926
2020-03-30,63,1.0073170731707315,63.46097560975608,60.28792682926828
2020-03-31,61,1.0073170731707315,61.44634146341462,58.374024390243896
2020-04-01,52,1.0073170731707315,52.38048780487804,49.761463414634136
2020-04-02,58,1.0073170731707315,58.42439024390243,55.50317073170731
2020-04-03,51,1.0073170731707315,51.373170731707305,48.804512195121944
2020-04-04,57,1.0073170731707315,57.4170731707317,54.546219512195115
2020-04-05,50,1.0638297872340423,53.19148936170212,50.531914893617014
2020-04-06,48,1.0638297872340423,51.06382978723403,48.510638297872326
2020-04-07,45,1.0638297872340423,47.8723404255319,45.47872340425531
2020-04-08,40,1.0638297872340423,42.553191489361694,40.42553191489361
2020-04-09,46,1.0638297872340423,48.936170212765944,46.48936170212765
2020-04-10,45,1.0638297872340423,47.8723404255319,45.47872340425531
2020-04-11,55,1.0638297872340423,58.510638297872326,55.58510638297871
2020-04-12,52,0.7337526205450734,38.15513626834382,36.24737945492662
2020-04-13,53,0.7337526205450734,38.88888888888889,36.94444444444445
2020-04-14,53,0.7337526205450734,38.88888888888889,36.94444444444445
2020-04-15,52,0.7337526205450734,38.15513626834382,36.24737945492662
2020-04-16,84,0.7337526205450734,61.63522012578616,58.55345911949685
2020-04-17,100,0.7337526205450734,73.37526205450735,69.70649895178198
2020-04-18,83,0.7337526205450734,60.901467505241094,57.85639412997904
2020-04-19,94,0.4852686308492201,45.61525129982669,43.33448873483536
2020-04-20,87,0.4852686308492201,42.21837088388215,40.10745233968805
2020-04-21,81,0.4852686308492201,39.30675909878683,37.341421143847484
2020-04-22,75,0.4852686308492201,36.39514731369151,34.575389948006936
2020-04-23,79,0.4852686308492201,38.33622183708839,36.41941074523397
2020-04-24,75,0.4852686308492201,36.39514731369151,34.575389948006936
2020-04-25,86,0.4852686308492201,41.73310225303293,39.646447140381284
2020-04-26,79,0.5135135135135135,40.567567567567565,38.53918918918919
2020-04-27,72,0.5135135135135135,36.97297297297297,35.12432432432433
2020-04-28,77,0.5135135135135135,39.54054054054054,37.56351351351351
2020-04-29,58,0.5135135135135135,29.783783783783782,28.294594594594596
2020-04-30,76,0.5135135135135135,39.027027027027025,37.075675675675676
2020-05-01,80,0.5135135135135135,41.08108108108108,39.02702702702703
