date,ubo,isPartial
2020-03-28,100,False
2020-03-29,54,False
2020-03-30,51,False
2020-03-31,51,False
2020-04-01,57,False
2020-04-02,96,False
2020-04-03,35,False
2020-04-04,53,False
2020-04-05,0,False
2020-04-06,44,False
2020-04-07,0,False
2020-04-08,56,False
2020-04-09,65,False
2020-04-10,0,False
2020-04-11,63,False
2020-04-12,49,False
2020-04-13,67,False
2020-04-14,50,False
2020-04-15,44,False
2020-04-16,36,False
2020-04-17,0,False
2020-04-18,36,False
2020-04-19,0,False
2020-04-20,0,False
2020-04-21,0,False
2020-04-22,0,False
2020-04-23,37,False
2020-04-24,0,False
2020-04-25,0,False
2020-04-26,0,False
2020-04-27,48,False
