date,ubo,isPartial
2020-04-09,100,False
2020-04-10,60,False
2020-04-11,95,False
2020-04-12,72,False
2020-04-13,65,False
2020-04-14,70,False
2020-04-15,54,False
2020-04-16,0,False
2020-04-17,71,False
2020-04-18,88,False
2020-04-19,0,False
2020-04-20,0,False
2020-04-21,0,False
2020-04-22,54,False
2020-04-23,0,False
2020-04-24,0,False
2020-04-25,0,False
2020-04-26,0,False
2020-04-27,63,False
2020-04-28,91,False
2020-04-29,83,False
2020-04-30,0,False
2020-05-01,64,False
2020-05-02,0,False
2020-05-03,0,False
2020-05-04,51,False
2020-05-05,45,False
2020-05-06,69,False
2020-05-07,50,False
2020-05-08,51,False
2020-05-09,52,False
