date,ubo,isPartial
2020-04-10,63,False
2020-04-11,100,False
2020-04-12,75,False
2020-04-13,69,False
2020-04-14,74,False
2020-04-15,57,False
2020-04-16,0,False
2020-04-17,75,False
2020-04-18,93,False
2020-04-19,0,False
2020-04-20,0,False
2020-04-21,0,False
2020-04-22,57,False
2020-04-23,0,False
2020-04-24,0,False
2020-04-25,0,False
2020-04-26,0,False
2020-04-27,66,False
2020-04-28,96,False
2020-04-29,88,False
2020-04-30,0,False
2020-05-01,67,False
2020-05-02,0,False
2020-05-03,0,False
2020-05-04,54,False
2020-05-05,48,False
2020-05-06,72,False
2020-05-07,52,False
2020-05-08,53,False
2020-05-09,55,False
