date,ecq,isPartial
2020-11-07,0,False
2020-11-08,0,False
2020-11-09,36,False
2020-11-10,36,False
2020-11-11,45,False
2020-11-12,0,False
2020-11-13,0,False
2020-11-14,0,False
2020-11-15,0,False
2020-11-16,57,False
2020-11-17,0,False
2020-11-18,0,False
2020-11-19,41,False
2020-11-20,45,False
2020-11-21,0,False
2020-11-22,0,False
2020-11-23,39,False
2020-11-24,0,False
2020-11-25,0,False
2020-11-26,0,False
2020-11-27,33,False
2020-11-28,0,False
2020-11-29,0,False
2020-11-30,75,False
2020-12-01,47,False
2020-12-02,67,False
2020-12-03,48,False
2020-12-04,73,False
2020-12-05,80,False
2020-12-06,100,False
2020-12-07,68,False
