date,ecq,isPartial
2020-10-25,0,False
2020-10-26,72,False
2020-10-27,80,False
2020-10-28,0,False
2020-10-29,63,False
2020-10-30,0,False
2020-10-31,0,False
2020-11-01,0,False
2020-11-02,68,False
2020-11-03,94,False
2020-11-04,71,False
2020-11-05,70,False
2020-11-06,0,False
2020-11-07,0,False
2020-11-08,0,False
2020-11-09,50,False
2020-11-10,66,False
2020-11-11,98,False
2020-11-12,0,False
2020-11-13,0,False
2020-11-14,0,False
2020-11-15,0,False
2020-11-16,100,False
2020-11-17,56,False
2020-11-18,0,False
2020-11-19,77,False
2020-11-20,95,False
2020-11-21,0,False
2020-11-22,0,False
2020-11-23,65,False
2020-11-24,0,False
