date,ecq,isPartial
2020-11-04,69,False
2020-11-05,68,False
2020-11-06,0,False
2020-11-07,0,False
2020-11-08,0,False
2020-11-09,49,False
2020-11-10,65,False
2020-11-11,96,False
2020-11-12,0,False
2020-11-13,0,False
2020-11-14,0,False
2020-11-15,0,False
2020-11-16,98,False
2020-11-17,55,False
2020-11-18,0,False
2020-11-19,75,False
2020-11-20,93,False
2020-11-21,0,False
2020-11-22,0,False
2020-11-23,64,False
2020-11-24,0,False
2020-11-25,0,False
2020-11-26,0,False
2020-11-27,58,False
2020-11-28,0,False
2020-11-29,0,False
2020-11-30,99,False
2020-12-01,78,False
2020-12-02,85,False
2020-12-03,100,False
2020-12-04,89,False
