date,ecq,isPartial
2020-12-12,0,False
2020-12-13,0,False
2020-12-14,0,False
2020-12-15,22,False
2020-12-16,0,False
2020-12-17,0,False
2020-12-18,24,False
2020-12-19,51,False
2020-12-20,52,False
2020-12-21,0,False
2020-12-22,0,False
2020-12-23,0,False
2020-12-24,0,False
2020-12-25,0,False
2020-12-26,0,False
2020-12-27,32,False
2020-12-28,100,False
2020-12-29,79,False
2020-12-30,45,False
2020-12-31,0,False
2021-01-01,32,False
2021-01-02,0,False
2021-01-03,0,False
2021-01-04,25,False
2021-01-05,23,False
2021-01-06,0,False
2021-01-07,0,False
2021-01-08,0,False
2021-01-09,0,False
2021-01-10,0,False
2021-01-11,0,False
