date,ecq,isPartial
2021-01-29,100,False
2021-01-30,58,False
2021-01-31,0,False
2021-02-01,69,False
2021-02-02,66,False
2021-02-03,0,False
2021-02-04,0,False
2021-02-05,52,False
2021-02-06,0,False
2021-02-07,0,False
2021-02-08,0,False
2021-02-09,0,False
2021-02-10,0,False
2021-02-11,0,False
2021-02-12,0,False
2021-02-13,0,False
2021-02-14,0,False
2021-02-15,0,False
2021-02-16,0,False
2021-02-17,0,False
2021-02-18,72,False
2021-02-19,48,False
2021-02-20,0,False
2021-02-21,0,False
2021-02-22,68,False
2021-02-23,0,False
2021-02-24,43,False
2021-02-25,0,False
2021-02-26,0,False
2021-02-27,0,False
2021-02-28,64,False
