date,ecq,isPartial
2021-02-12,0,False
2021-02-13,0,False
2021-02-14,0,False
2021-02-15,0,False
2021-02-16,0,False
2021-02-17,0,False
2021-02-18,57,False
2021-02-19,38,False
2021-02-20,0,False
2021-02-21,0,False
2021-02-22,54,False
2021-02-23,0,False
2021-02-24,34,False
2021-02-25,0,False
2021-02-26,0,False
2021-02-27,0,False
2021-02-28,50,False
2021-03-01,0,False
2021-03-02,0,False
2021-03-03,0,False
2021-03-04,38,False
2021-03-05,0,False
2021-03-06,0,False
2021-03-07,0,False
2021-03-08,83,False
2021-03-09,67,False
2021-03-10,51,False
2021-03-11,53,False
2021-03-12,69,False
2021-03-13,99,False
2021-03-14,100,False
