date,masks,isPartial
2021-01-31,100,False
2021-02-01,67,False
2021-02-02,55,False
2021-02-03,80,False
2021-02-04,83,False
2021-02-05,0,False
2021-02-06,0,False
2021-02-07,0,False
2021-02-08,80,False
2021-02-09,74,False
2021-02-10,65,False
2021-02-11,74,False
2021-02-12,98,False
2021-02-13,78,False
2021-02-14,0,False
2021-02-15,82,False
2021-02-16,87,False
2021-02-17,47,False
2021-02-18,69,False
2021-02-19,0,False
2021-02-20,59,False
2021-02-21,0,False
2021-02-22,61,False
2021-02-23,49,False
2021-02-24,51,False
2021-02-25,65,False
2021-02-26,0,False
2021-02-27,65,False
2021-02-28,54,False
2021-03-01,77,False
2021-03-02,0,False
