week,fever,manual_weekly_average,manual_weekly_sum,days_in_week,search_interest_weight
2020-03-15,100,95.0,570,6,1.0526315789473684
2020-03-22,79,75.85714285714286,531,7,1.0414312617702448
2020-03-29,59,58.57142857142857,410,7,1.0073170731707317
2020-04-05,50,47.0,329,7,1.0638297872340425
2020-04-12,50,68.14285714285714,477,7,0.7337526205450734
2020-04-19,40,82.42857142857143,577,7,0.4852686308492201
2020-04-26,38,74.0,518,7,0.5135135135135135
2020-05-03,33,63.0,441,7,0.5238095238095238
2020-05-10,32,61.285714285714285,429,7,0.5221445221445221
2020-05-17,36,79.57142857142857,557,7,0.4524236983842011
2020-05-24,33,71.42857142857143,500,7,0.46199999999999997
2020-05-31,34,75.14285714285714,526,7,0.4524714828897339
2020-06-07,32,71.28571428571429,499,7,0.4488977955911823
2020-06-14,35,65.14285714285714,456,7,0.537280701754386
2020-06-21,37,62.714285714285715,439,7,0.5899772209567198
2020-06-28,41,69.42857142857143,486,7,0.5905349794238683
2020-07-05,47,83.14285714285714,582,7,0.5652920962199313
2020-07-12,53,92.14285714285714,645,7,0.5751937984496124
2020-07-19,56,93.42857142857143,654,7,0.599388379204893
2020-07-26,50,84.28571428571429,590,7,0.5932203389830508
2020-08-02,50,82.14285714285714,575,7,0.6086956521739131
2020-08-09,46,76.71428571428571,537,7,0.5996275605214153
2020-08-16,44,82.0,574,7,0.5365853658536586
2020-08-23,37,76.85714285714286,538,7,0.48141263940520446
2020-08-30,38,77.0,539,7,0.4935064935064935
2020-09-06,34,69.42857142857143,486,7,0.4897119341563786
2020-09-13,32,67.42857142857143,472,7,0.4745762711864407
2020-09-20,36,81.42857142857143,570,7,0.4421052631578947
2020-09-27,35,75.57142857142857,529,7,0.4631379962192817
2020-10-04,31,69.42857142857143,486,7,0.4465020576131687
2020-10-11,32,66.85714285714286,468,7,0.4786324786324786
2020-10-18,31,74.71428571428571,523,7,0.4149139579349905
2020-10-25,34,91.57142857142857,641,7,0.3712948517940718
2020-11-01,32,78.85714285714286,552,7,0.40579710144927533
2020-11-08,31,77.14285714285714,540,7,0.40185185185185185
2020-11-15,33,79.71428571428571,558,7,0.41397849462365593
2020-11-22,37,82.14285714285714,575,7,0.4504347826086957
2020-11-29,36,81.71428571428571,572,7,0.4405594405594406
2020-12-06,36,83.71428571428571,586,7,0.4300341296928328
2020-12-13,34,73.28571428571429,513,7,0.46393762183235865
2020-12-20,34,80.14285714285714,561,7,0.42424242424242425
2020-12-27,40,89.0,623,7,0.449438202247191
2021-01-03,38,84.14285714285714,589,7,0.4516129032258065
2021-01-10,33,76.71428571428571,537,7,0.4301675977653632
2021-01-17,34,78.85714285714286,552,7,0.43115942028985504
2021-01-24,36,82.14285714285714,575,7,0.4382608695652174
2021-01-31,35,82.71428571428571,579,7,0.42314335060449054
2021-02-07,36,84.71428571428571,593,7,0.4249578414839798
2021-02-14,35,79.71428571428571,558,7,0.439068100358423
2021-02-21,36,57.857142857142854,405,7,0.6222222222222222
2021-02-28,36,53.857142857142854,377,7,0.6684350132625995
2021-03-07,46,69.14285714285714,484,7,0.6652892561983471
2021-03-14,54,83.0,581,7,0.6506024096385542
