,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,1.0,,,,,,,,,,,,,,
cough,1.0,1.0,,,,,,,,,,,,,
fever,1.0,1.0,1.0,,,,,,,,,,,,
headache,1.0,1.0,1.0,1.0,,,,,,,,,,,
lagnat,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
rashes,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,
sipon,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,
ubo,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,
ecq,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
face shield,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,
Frontliners,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,
masks,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,
Quarantine,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,
social distancing,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,
work from home,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
